address,suburb,postcode,sale_price,sale_date,bedrooms,bathrooms,parking,land_size_sqm,property_type,description,listing_url,agent_name,agency_name
"8 Stanillon St, Aspley, QLD 4034",Aspley,4034,1775000,17 Dec 2025,4,3,2,3200,House,,https://www.onthehouse.com.au/property/qld/aspley-4034/8-stanillon-st-aspley-qld-4034-5059164,Agent name not disclosed,Coronis Inner North
"24 Hutton Rd, Aspley, QLD 4034",Aspley,4034,1300000,15 Dec 2025,4,2,2,3200,House,,https://www.onthehouse.com.au/property/qld/aspley-4034/24-hutton-rd-aspley-qld-4034-2578658,Renee Di Maggio,BD Realty
"43 Pie St, Aspley, QLD 4034",Aspley,4034,1350000,13 Dec 2025,4,1,2,3200,House,,https://www.onthehouse.com.au/property/qld/aspley-4034/43-pie-st-aspley-qld-4034-2453656,Dan D'Silva,SOL Property
"28 Summerfield St, Aspley, QLD 4034",Aspley,4034,1165000,10 Dec 2025,3,1,2,,House,,https://www.onthehouse.com.au/property/qld/aspley-4034/28-summerfield-st-aspley-qld-4034-2324362,Scott Bertie Team,Harcourts Pinnacle - Aspley
"44 Cara St, Aspley, QLD 4034",Aspley,4034,1240000,10 Dec 2025,4,1,2,,House,,https://www.onthehouse.com.au/property/qld/aspley-4034/44-cara-st-aspley-qld-4034-2339094,Alexandra Porter,McGrath Aspley
"14 Ibsen St, Aspley, QLD 4034",Aspley,4034,2300000,9 Dec 2025,4,2,2,,House,,https://www.onthehouse.com.au/property/qld/aspley-4034/14-ibsen-st-aspley-qld-4034-5065852,Tristan Rowland,Bright Estate Agents
"23 Mountview St, Aspley, QLD 4034",Aspley,4034,,9 Dec 2025,3,3,2,,House,,https://www.onthehouse.com.au/property/qld/aspley-4034/23-mountview-st-aspley-qld-4034-5058462,Adrian Garth,Harcourts Connections
"642 Zillmere Rd, Aspley, QLD 4034",Aspley,4034,,6 Dec 2025,3,2,4,,House,,https://www.onthehouse.com.au/property/qld/aspley-4034/642-zillmere-rd-aspley-qld-4034-2386861,Andrew King,Ray White Everton Park
"3 Talwin St, Aspley, QLD 4034",Aspley,4034,1170000,6 Dec 2025,4,1,2,3200,House,,https://www.onthehouse.com.au/property/qld/aspley-4034/3-talwin-st-aspley-qld-4034-5059207,Melody Lucas,@realty
"26/735 Trouts Rd, Aspley, QLD 4034",Aspley,4034,,4 Dec 2025,3,2,2,,House,,https://www.onthehouse.com.au/property/qld/aspley-4034/26-735-trouts-rd-aspley-qld-4034-3934290,Matt Morgan,Ray White Aspley
"9/154 Albany Creek Rd, Aspley, QLD 4034",Aspley,4034,,29 Nov 2025,3,2,1,,House,,https://www.onthehouse.com.au/property/qld/aspley-4034/9-154-albany-creek-rd-aspley-qld-4034-3934183,Michael Korkou,Ray White Aspley
"7 Talwin St, Aspley, QLD 4034",Aspley,4034,1300000,18 Nov 2025,3,1,1,610,House,,https://www.onthehouse.com.au/property/qld/aspley-4034/7-talwin-st-aspley-qld-4034-2384429,Agent name not disclosed,Belle Property Aspley
"Lot 14/33 Brickfield Rd, Aspley, QLD 4034",Aspley,4034,905000,18 Nov 2025,,,,,House,,https://www.onthehouse.com.au/property/qld/aspley-4034/lot-14-33-brickfield-rd-aspley-qld-4034-42841535,,
"33 Brickfield Rd, Aspley, QLD 4034",Aspley,4034,905000,16 Nov 2025,3,2,2,610,House,,https://www.onthehouse.com.au/property/qld/aspley-4034/33-brickfield-rd-aspley-qld-4034-4135977,Dean Hamilton,LJ Hooker Stafford
"7 Candlebark St, Aspley, QLD 4034",Aspley,4034,1570000,15 Nov 2025,4,3,2,3200,House,,https://www.onthehouse.com.au/property/qld/aspley-4034/7-candlebark-st-aspley-qld-4034-2381101,Dan D'Silva,SOL Property
"24 Havering St, Aspley, QLD 4034",Aspley,4034,1470000,12 Nov 2025,3,2,2,610,House,,https://www.onthehouse.com.au/property/qld/aspley-4034/24-havering-st-aspley-qld-4034-2384094,Jay Wu,Jay Wu Estate Agents
"16 Montclair St, Aspley, QLD 4034",Aspley,4034,1630000,11 Nov 2025,4,3,3,,House,,https://www.onthehouse.com.au/property/qld/aspley-4034/16-montclair-st-aspley-qld-4034-5059529,Dan D'Silva,SOL Property
"54 Moree St, Kedron, QLD 4031",Kedron,4031,1146000,16 Dec 2025,3,2,0,,House,,https://www.onthehouse.com.au/property/qld/kedron-4031/54-moree-st-kedron-qld-4031-2955779,Fraser Andersen,Little Real Estate QLD
"28 Jardine St, Kedron, QLD 4031",Kedron,4031,,6 Dec 2025,4,2,2,787,House,,https://www.onthehouse.com.au/property/qld/kedron-4031/28-jardine-st-kedron-qld-4031-2966812,Holly Bowden,Ray White Wilston
"33 Boothby St, Kedron, QLD 4031",Kedron,4031,1320000,2 Dec 2025,3,1,2,,House,,https://www.onthehouse.com.au/property/qld/kedron-4031/33-boothby-st-kedron-qld-4031-2957787,Alexandra Porter,McGrath Aspley
"58 Achilles St, Kedron, QLD 4031",Kedron,4031,,25 Nov 2025,3,1,0,539,House,,https://www.onthehouse.com.au/property/qld/kedron-4031/58-achilles-st-kedron-qld-4031-2955805,Meg Goodall,Harcourts Connections
"16 Gourlay St, Kedron, QLD 4031",Kedron,4031,1550000,15 Nov 2025,3,1,1,,House,,https://www.onthehouse.com.au/property/qld/kedron-4031/16-gourlay-st-kedron-qld-4031-5053730,Garry Jones,Garry Jones Homes
"1 Twelfth Ave, Kedron, QLD 4031",Kedron,4031,,21 Nov 2025,3,2,2,,House,,https://www.onthehouse.com.au/property/qld/kedron-4031/1-twelfth-ave-kedron-qld-4031-2955221,Nathan Johnson,LJ Hooker Stafford
"23 Evans St, Kedron, QLD 4031",Kedron,4031,1475000,11 Nov 2025,3,2,2,,House,,https://www.onthehouse.com.au/property/qld/kedron-4031/23-evans-st-kedron-qld-4031-2955500,,
"55 North St, Kedron, QLD 4031",Kedron,4031,2800000,10 Nov 2025,4,2,2,625,House,,https://www.onthehouse.com.au/property/qld/kedron-4031/55-north-st-kedron-qld-4031-2955523,,
"30 Suncroft St, Mount Gravatt, QLD 4122",Mount Gravatt,4122,1580000,9 Dec 2025,4,2,2,810,House,,https://www.onthehouse.com.au/property/qld/mount-gravatt-4122/30-suncroft-st-mount-gravatt-qld-4122-3041489,Jacob Secco,RE/MAX ELEVATE
"4 Doheny St, Mount Gravatt, QLD 4122",Mount Gravatt,4122,1420000,16 Nov 2025,3,1,1,612,House,,https://www.onthehouse.com.au/property/qld/mount-gravatt-4122/4-doheny-st-mount-gravatt-qld-4122-3021542,Mitchell Smith,Place - Woolloongabba
"25a Trent St, Mount Gravatt, QLD 4122",Mount Gravatt,4122,2000000,20 Nov 2025,4,3,2,613,House,,https://www.onthehouse.com.au/property/qld/mount-gravatt-4122/25a-trent-st-mount-gravatt-qld-4122-42282050,Will Torres,TORRES PROPERTY
"62 Mountain St, Mount Gravatt, QLD 4122",Mount Gravatt,4122,1415000,11 Nov 2025,3,1,1,,House,,https://www.onthehouse.com.au/property/qld/mount-gravatt-4122/62-mountain-st-mount-gravatt-qld-4122-5035838,,
"15 Santley St, Mount Gravatt, QLD 4122",Mount Gravatt,4122,,8 Nov 2025,4,3,2,,House,,https://www.onthehouse.com.au/property/qld/mount-gravatt-4122/15-santley-st-mount-gravatt-qld-4122-3048858,Kosma Comino,LJ Hooker Property Partners - Sunnybank Hills and Mount Gravatt
"28 Trent St, Mount Gravatt, QLD 4122",Mount Gravatt,4122,,29 Oct 2025,3,2,1,,House,,https://www.onthehouse.com.au/property/qld/mount-gravatt-4122/28-trent-st-mount-gravatt-qld-4122-3041510,Matt Campbell,Ray White Mt Gravatt
"14 Loreburn St, Mount Gravatt, QLD 4122",Mount Gravatt,4122,,20 Oct 2025,4,2,5,,House,,https://www.onthehouse.com.au/property/qld/mount-gravatt-4122/14-loreburn-st-mount-gravatt-qld-4122-3066268,Erfan Aghababaie,LJ Hooker Property Partners - Sunnybank Hills and Mount Gravatt
"55 Kennington Rd, Camp Hill, QLD 4152",Camp Hill,4152,1910000,8 Dec 2025,3,1,1,630,House,,https://www.onthehouse.com.au/property/qld/camp-hill-4152/55-kennington-rd-camp-hill-qld-4152-5022962,Craig Loudon,Tobin Real Estate
"10 Burn St, Camp Hill, QLD 4152",Camp Hill,4152,1490000,6 Dec 2025,3,1,1,506,House,,https://www.onthehouse.com.au/property/qld/camp-hill-4152/10-burn-st-camp-hill-qld-4152-2706474,Shane Hicks,Place Camp Hill
"100 Albert St, Camp Hill, QLD 4152",Camp Hill,4152,,29 Nov 2025,3,2,2,513,House,,https://www.onthehouse.com.au/property/qld/camp-hill-4152/100-albert-st-camp-hill-qld-4152-2724330,Jimmy Regan,LJ Hooker Property Centre
"110 Bruce St, Camp Hill, QLD 4152",Camp Hill,4152,1500000,29 Nov 2025,3,2,1,493,House,,https://www.onthehouse.com.au/property/qld/camp-hill-4152/110-bruce-st-camp-hill-qld-4152-2779538,Shane Hicks,Place Camp Hill
"130 The Promenade, Camp Hill, QLD 4152",Camp Hill,4152,1480000,28 Nov 2025,3,1,1,,House,,https://www.onthehouse.com.au/property/qld/camp-hill-4152/130-the-promenade-camp-hill-qld-4152-17346833,Jason Song,Ray White Rochedale
"47a Samuel St, Camp Hill, QLD 4152",Camp Hill,4152,1980000,27 Nov 2025,4,3,2,,House,,https://www.onthehouse.com.au/property/qld/camp-hill-4152/47a-samuel-st-camp-hill-qld-4152-39860095,Agent name not disclosed,Harcourts Property Centre
"35 Ferguson Rd, Camp Hill, QLD 4152",Camp Hill,4152,1600000,26 Nov 2025,3,1,2,,House,,https://www.onthehouse.com.au/property/qld/camp-hill-4152/35-ferguson-rd-camp-hill-qld-4152-2703696,Aiden Bayne,MPM PROPERTY
"34 The Promenade, Camp Hill, QLD 4152",Camp Hill,4152,1560000,22 Nov 2025,3,1,2,,House,,https://www.onthehouse.com.au/property/qld/camp-hill-4152/34-the-promenade-camp-hill-qld-4152-20507730,Lucas Avraam,Place - Woolloongabba
"82 Warilda St, Camp Hill, QLD 4152",Camp Hill,4152,2400000,21 Nov 2025,4,2,2,,House,,https://www.onthehouse.com.au/property/qld/camp-hill-4152/82-warilda-st-camp-hill-qld-4152-2754666,Agent name not disclosed,Harcourts Property Centre
"22a Arrol St, Camp Hill, QLD 4152",Camp Hill,4152,2170000,15 Nov 2025,4,2,2,,House,,https://www.onthehouse.com.au/property/qld/camp-hill-4152/22a-arrol-st-camp-hill-qld-4152-41869626,Shane Hicks,Place Camp Hill
"366 Marshall Rd, Tarragindi, QLD 4121",Tarragindi,4121,1366000,23 Dec 2025,4,2,2,607,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/366-marshall-rd-tarragindi-qld-4121-19361521,Mark Diamond,Atlas | Brisbane
"21 Pozieres Rd, Tarragindi, QLD 4121",Tarragindi,4121,,22 Dec 2025,3,2,2,,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/21-pozieres-rd-tarragindi-qld-4121-3398756,Jonah Burrell,Ray White Holland Park
"3 Joywood St, Tarragindi, QLD 4121",Tarragindi,4121,,5 Dec 2025,3,2,4,,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/3-joywood-st-tarragindi-qld-4121-3394426,Piers Crawford,Ray White Holland Park
"23 Newington St, Tarragindi, QLD 4121",Tarragindi,4121,1908000,27 Nov 2025,4,2,2,,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/23-newington-st-tarragindi-qld-4121-3399878,Mitchell Smith,Place - Woolloongabba
"8 Willis St, Tarragindi, QLD 4121",Tarragindi,4121,,24 Nov 2025,3,1,4,868,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/8-willis-st-tarragindi-qld-4121-4146769,Mark Diamond,Atlas | Brisbane
"44 Moorbell St, Tarragindi, QLD 4121",Tarragindi,4121,1495000,20 Nov 2025,3,2,1,,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/44-moorbell-st-tarragindi-qld-4121-3400592,Jacob Secco,RE/MAX ELEVATE
"1 Bramston St, Tarragindi, QLD 4121",Tarragindi,4121,1528755,15 Nov 2025,4,2,4,,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/1-bramston-st-tarragindi-qld-4121-3434127,Andrew Weeks,Strud Property
"15 Benbow St, Tarragindi, QLD 4121",Tarragindi,4121,,13 Nov 2025,3,1,1,,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/15-benbow-st-tarragindi-qld-4121-5037556,Michael Nolan,Ray White West End
"99 Laura St, Tarragindi, QLD 4121",Tarragindi,4121,510000,13 Nov 2025,3,1,1,,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/99-laura-st-tarragindi-qld-4121-3387080,,
"15 Esther St, Tarragindi, QLD 4121",Tarragindi,4121,2060000,12 Nov 2025,3,2,2,,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/15-esther-st-tarragindi-qld-4121-3389935,Mark Diamond,Atlas | Brisbane
"20 Marlton St, Tarragindi, QLD 4121",Tarragindi,4121,1180000,12 Nov 2025,3,1,2,,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/20-marlton-st-tarragindi-qld-4121-5036261,Darren Lewis-Date,RE/MAX ELEVATE
"52 Weller Rd, Tarragindi, QLD 4121",Tarragindi,4121,1160000,7 Nov 2025,3,1,1,,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/52-weller-rd-tarragindi-qld-4121-3439136,Michael Oslar,Aurora Property Brisbane
"35 Peronne Rd, Tarragindi, QLD 4121",Tarragindi,4121,1415000,4 Nov 2025,3,2,2,,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/35-peronne-rd-tarragindi-qld-4121-5035925,Jonah Burrell,Ray White Holland Park
"116 Monash Rd, Tarragindi, QLD 4121",Tarragindi,4121,1562500,4 Nov 2025,3,1,4,599,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/116-monash-rd-tarragindi-qld-4121-3398727,,
"8/14 Andrew Ave, Tarragindi, QLD 4121",Tarragindi,4121,1600000,29 Oct 2025,4,3,2,727,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/8-14-andrew-ave-tarragindi-qld-4121-11505184,Mark Diamond,Atlas | Brisbane
"71 Sunshine Ave, Tarragindi, QLD 4121",Tarragindi,4121,,28 Oct 2025,4,2,2,607,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/71-sunshine-ave-tarragindi-qld-4121-3399630,Kristian Gorgieski,NGU REAL ESTATE EAST BRISBANE PTY LTD
"123 Bramston St, Tarragindi, QLD 4121",Tarragindi,4121,1400000,28 Oct 2025,3,1,2,665,House,,https://www.onthehouse.com.au/property/qld/tarragindi-4121/123-bramston-st-tarragindi-qld-4121-3400172,Irena Jansa,Huis estate agents
"7 Crestview St, Kenmore, QLD 4069",Kenmore,4069,1800000,13 Dec 2025,4,3,2,736,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/7-crestview-st-kenmore-qld-4069-2962043,Gill Barr,Barr Estate Agents
"52 Kingfisher Pl, Kenmore, QLD 4069",Kenmore,4069,,11 Dec 2025,3,2,3,,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/52-kingfisher-pl-kenmore-qld-4069-5093326,Sarah Hackett,Place New Farm
"9 Dumfries St, Kenmore, QLD 4069",Kenmore,4069,1300000,10 Dec 2025,4,2,2,1434,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/9-dumfries-st-kenmore-qld-4069-2952351,Deron Wang,Brisbane Real Estate - Chapel Hill
"40 Mabb St, Kenmore, QLD 4069",Kenmore,4069,1810000,7 Dec 2025,4,3,2,819,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/40-mabb-st-kenmore-qld-4069-2962379,Deron Wang,Brisbane Real Estate - Chapel Hill
"46 Wongabel St, Kenmore, QLD 4069",Kenmore,4069,1360000,1 Dec 2025,3,1,1,612,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/46-wongabel-st-kenmore-qld-4069-2961210,Taryn Phillips,Priority Residential
"6 Belford St, Kenmore, QLD 4069",Kenmore,4069,1230000,28 Nov 2025,4,1,2,,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/6-belford-st-kenmore-qld-4069-2962398,Louie Maxwell,Raine & Horne Brisbane West
"8 Bilara St, Kenmore, QLD 4069",Kenmore,4069,1360888,26 Nov 2025,4,2,2,,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/8-bilara-st-kenmore-qld-4069-5089937,Deron Wang,Brisbane Real Estate - Chapel Hill
"62/7 Lawrence Lyons Pl, Kenmore, QLD 4069",Kenmore,4069,1267700,25 Nov 2025,4,2,2,,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/62-7-lawrence-lyons-pl-kenmore-qld-4069-43076745,John Heng,Aurora Property Brisbane
"28/56 Kersley Rd, Kenmore, QLD 4069",Kenmore,4069,,22 Nov 2025,4,2,2,,House,,https://www.onthehouse.com.au/property/qld/kenmore-4069/28-56-kersley-rd-kenmore-qld-4069-3817006,Jo Langstaff,Ray White Metrowest Residential
